word,meaning
acquittal,a judgment of not guilty
acquittals,a judgment of not guilty
acquittance,a legal document evidencing the discharge of a debt or obligation
acquittances,a legal document evidencing the discharge of a debt or obligation
acquitted,pronounce not guilty of criminal charges
acquitting,pronounce not guilty of criminal charges
acre,a unit of area (4840 square yards
acreage,an area of ground used for some particular purpose (such as building or farming
acreages,an area of ground used for some particular purpose (such as building or farming
acres,a unit of area (4840 square yards
acrid,strong and sharp
acridity,having an acrid smell
acridly,not found
acrimonious,marked by strong resentment or cynicism
acrimoniously,not found
acrimoniousness,not found
acrimony,a rough and bitter manner
acrobat,an athlete who performs acts requiring skill and agility and coordination
acrobatic,vigorously active
acrobatically,not found
acrobatics,the gymnastic moves of an acrobat
acrobats,an athlete who performs acts requiring skill and agility and coordination
acronym,a word formed from the initial letters of the several words in the name and pronounced as one word
acronymic,characterized by the use of acronyms
acronyms,a word formed from the initial letters of the several words in the name and pronounced as one word
acrophobia,a morbid fear of great heights
acropolis,the citadel in ancient Greek towns
acropolises,the citadel in ancient Greek towns
across,Not found
acrostic,a puzzle where you fill a square grid with words reading the same down as across
acrostics,a puzzle where you fill a square grid with words reading the same down as across
acrylic,polymerized from acrylonitrile
acrylics,polymerized from acrylonitrile
act,a legal document codifying the result of deliberations of a committee or society or legislative body
acta,not found
acte,not found
acted,"perform an action, or work out or perform (an action"
actes,not found
actin,one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
acting,the performance of a part or role in a drama
actinic,relating to or exhibiting actinism
actinide,any of a series of radioactive elements with atomic numbers 89 through 103
actinides,any of a series of radioactive elements with atomic numbers 89 through 103
actinium,a radioactive element of the actinide series; found in uranium ores
action,something done (usually as opposed to something said
actionable,affording grounds for legal action
actionably,not found
actions,something done (usually as opposed to something said
activate,put in motion or move to act
activated,put in motion or move to act
activates,put in motion or move to act
activating,the activity of causing to have energy and be active
activation,stimulation of activity in an organism or chemical
activator,(biology
activators,(biology
active,chemical agent capable of activity
actively,Not found
actives,chemical agent capable of activity
activism,a policy of taking direct action to achieve a political or social goal
activist,a militant reformer
activists,a militant reformer
activities,any specific behavior
activity,any specific behavior
acton,not found
actor,a theatrical performer
actors,a theatrical performer
actress,a female actor
actresses,a female actor
acts,a legal document codifying the result of deliberations of a committee or society or legislative body
actual,presently existing in fact and not merely potential or possible
actualisation,making real or giving the appearance of reality
actualise,make real or concrete; give reality or substance to
actualised,make real or concrete; give reality or substance to
actualises,make real or concrete; give reality or substance to
actualising,make real or concrete; give reality or substance to
actualities,the state of actually existing objectively
actuality,the state of actually existing objectively
actualization,making real or giving the appearance of reality
actualize,make real or concrete; give reality or substance to
actualized,make real or concrete; give reality or substance to
actualizes,make real or concrete; give reality or substance to
